id,problem
xhard_001,Let S = 82^43486 + 96^148182 - 33^29248 + 34^66931. Compute S modulo 100000. Return the least nonnegative residue.
xhard_002,"Define A = sum_{k=0}^{46} (-1)^k * C(46, k) * (64+k)^48. Find A modulo 65521."
xhard_003,"Sequence (u_n) satisfies u_(n+2) = 14*u_(n+1) + 70*u_n with u_0=80416, u_1=52231. Compute u_1292195 modulo 99991."
xhard_004,"Let F_0=0, F_1=1, and F_(t+2)=F_(t+1)+F_t. Compute B = F_227219606460*F_227219606461 + F_227219877238 modulo 99991."
xhard_005,"Count integer tuples (x_1,...,x_9) with x_1+...+x_9=102 and 0 <= x_i <= 18 for all i. Give the count modulo 100000."
xhard_006,How many surjective functions exist from a set of size 29 to a set of size 12? Return the answer modulo 99991.
xhard_007,"Let P(x)=(1+x)^93(1+x^2)^61(1+x^3)^49. Find the coefficient of x^93 in P(x), modulo 99989."
xhard_008,"Let M=[[10,22,26],[17,45,41],[14,47,6]]. Compute trace(M^612449) modulo 99991."
xhard_009,"Let x be the smallest nonnegative integer such that x ≡ 18 (mod 107), x ≡ 65 (mod 103), and x ≡ 31 (mod 101). Compute x^2 + 23x + 55 modulo 50021."
xhard_010,"In the coordinate plane, triangle vertices are A=(15,37), B=(146,14), C=(69,99). Let T = 2*Area(ABC) and Q = AB^2 + BC^2 + CA^2. Compute T^11 + Q^8 + TQ modulo 99991."
xhard_011,"For a real number t, let floor(t) denote the greatest integer <= t. Define S = sum_(i=0)^(107720614787-1) floor((239203143i+859821065)/65521) + 74 * sum_(i=0)^(107720614787-1) floor((573974203i+285044239)/65521). Compute S + (239203143+859821065+573974203+285044239)^3 modulo 50021."
xhard_012,"Let p=1009. Compute T = C(639035291477880,406242905224583) + 14*C(692208114231452,191138570425129) + 639035291477880+191138570425129 modulo p. Return the least nonnegative residue."
xhard_013,"Define sequence (u_t) by u_(t+4)=20u_(t+3)+75u_(t+2)+113u_(t+1)+38u_t, with initial values u_0=27224, u_1=67396, u_2=8743, u_3=41693. Compute u_5229031 modulo 99991."
xhard_014,"Let G be the complete tripartite graph K_(83,158,148). How many spanning trees does G have? Return the result modulo 60013."
xhard_015,"Let N = 2^7 * 3^7 * 5^4. For each divisor d of N, define tau(d) as the number of positive divisors of d and phi(d) as Euler's totient. Compute
S = sum_(d|N) phi(d) * (tau(d)^2 + 2*tau(d) + 6) modulo 100000."
xhard_016,"Let M = 5610 and N = 173057766320. Let C be the number of integers x with 1 <= x <= N and gcd(x,M)=1. Compute C^2 + 5C + 189 modulo 99991."
xhard_017,Let S = 59^158622 + 78^205953 - 76^79285 + 34^59576. Compute S modulo 99989. Return the least nonnegative residue.
xhard_018,"Define A = sum_{k=0}^{61} (-1)^k * C(61, k) * (246+k)^69. Find A modulo 65521."
xhard_019,"Sequence (u_n) satisfies u_(n+2) = 55*u_(n+1) + 124*u_n with u_0=3430, u_1=76422. Compute u_492354 modulo 100000."
xhard_020,"Let F_0=0, F_1=1, and F_(t+2)=F_(t+1)+F_t. Compute B = F_770553849987*F_770553849988 + F_770554599767 modulo 99989."
xhard_021,"Count integer tuples (x_1,...,x_9) with x_1+...+x_9=155 and 0 <= x_i <= 30 for all i. Give the count modulo 50021."
xhard_022,How many surjective functions exist from a set of size 35 to a set of size 8? Return the answer modulo 60013.
xhard_023,"Let P(x)=(1+x)^82(1+x^2)^66(1+x^3)^58. Find the coefficient of x^141 in P(x), modulo 60013."
xhard_024,"Let M=[[5,9,45],[31,32,47],[33,7,45]]. Compute trace(M^1152702) modulo 99991."
xhard_025,"Let x be the smallest nonnegative integer such that x ≡ 61 (mod 109), x ≡ 79 (mod 107), and x ≡ 35 (mod 101). Compute x^2 + 79x + 111 modulo 99989."
xhard_026,"In the coordinate plane, triangle vertices are A=(52,65), B=(140,79), C=(60,203). Let T = 2*Area(ABC) and Q = AB^2 + BC^2 + CA^2. Compute T^10 + Q^7 + TQ modulo 99991."
xhard_027,"For a real number t, let floor(t) denote the greatest integer <= t. Define S = sum_(i=0)^(941883097353-1) floor((91351229i+12069700)/50021) + 350 * sum_(i=0)^(941883097353-1) floor((206486543i+962168671)/50021). Compute S + (91351229+12069700+206486543+962168671)^3 modulo 99989."
xhard_028,"Let p=10007. Compute T = C(569922528222396,565149854288719) + 28*C(827489988854043,260523637527006) + 569922528222396+260523637527006 modulo p. Return the least nonnegative residue."
xhard_029,"Define sequence (u_t) by u_(t+4)=103u_(t+3)+29u_(t+2)+25u_(t+1)+112u_t, with initial values u_0=19032, u_1=13583, u_2=36161, u_3=83979. Compute u_6417743 modulo 100000."
xhard_030,"Let G be the complete tripartite graph K_(58,28,20). How many spanning trees does G have? Return the result modulo 65521."
xhard_031,"Let N = 2^9 * 3^5 * 5^5. For each divisor d of N, define tau(d) as the number of positive divisors of d and phi(d) as Euler's totient. Compute
S = sum_(d|N) phi(d) * (tau(d)^2 + 2*tau(d) + 9) modulo 100000."
xhard_032,"Let M = 25194 and N = 595320565961. Let C be the number of integers x with 1 <= x <= N and gcd(x,M)=1. Compute C^2 + 27C + 357 modulo 100000."
xhard_033,Let S = 118^268644 + 132^165112 - 79^108018 + 23^86997. Compute S modulo 60013. Return the least nonnegative residue.
xhard_034,"Define A = sum_{k=0}^{45} (-1)^k * C(45, k) * (152+k)^48. Find A modulo 50021."
xhard_035,"Sequence (u_n) satisfies u_(n+2) = 116*u_(n+1) + 52*u_n with u_0=29997, u_1=9288. Compute u_419471 modulo 60013."
xhard_036,"Let F_0=0, F_1=1, and F_(t+2)=F_(t+1)+F_t. Compute B = F_762080731651*F_762080731652 + F_762081851363 modulo 99991."
xhard_037,"Count integer tuples (x_1,...,x_9) with x_1+...+x_9=168 and 0 <= x_i <= 21 for all i. Give the count modulo 100000."
xhard_038,How many surjective functions exist from a set of size 21 to a set of size 7? Return the answer modulo 100000.
xhard_039,"Let P(x)=(1+x)^69(1+x^2)^58(1+x^3)^26. Find the coefficient of x^68 in P(x), modulo 99991."
xhard_040,"Let M=[[19,4,31],[49,19,8],[9,37,33]]. Compute trace(M^555550) modulo 100000."
xhard_041,"Let x be the smallest nonnegative integer such that x ≡ 42 (mod 109), x ≡ 26 (mod 103), and x ≡ 11 (mod 101). Compute x^2 + 37x + 140 modulo 65521."
xhard_042,"In the coordinate plane, triangle vertices are A=(9,14), B=(131,28), C=(60,120). Let T = 2*Area(ABC) and Q = AB^2 + BC^2 + CA^2. Compute T^4 + Q^5 + TQ modulo 99989."
xhard_043,"For a real number t, let floor(t) denote the greatest integer <= t. Define S = sum_(i=0)^(477755138237-1) floor((135099196i+719641625)/65521) + 10 * sum_(i=0)^(477755138237-1) floor((555092959i+895728631)/65521). Compute S + (135099196+719641625+555092959+895728631)^3 modulo 50021."
xhard_044,"Let p=10007. Compute T = C(334101772870509,322311680419330) + 8*C(941496842730364,151933688735599) + 334101772870509+151933688735599 modulo p. Return the least nonnegative residue."
xhard_045,"Define sequence (u_t) by u_(t+4)=52u_(t+3)+67u_(t+2)+114u_(t+1)+93u_t, with initial values u_0=17368, u_1=36108, u_2=94479, u_3=3688. Compute u_5688513 modulo 99989."
xhard_046,"Let G be the complete tripartite graph K_(161,49,173). How many spanning trees does G have? Return the result modulo 99989."
xhard_047,"Let N = 2^11 * 3^8 * 5^6. For each divisor d of N, define tau(d) as the number of positive divisors of d and phi(d) as Euler's totient. Compute
S = sum_(d|N) phi(d) * (tau(d)^2 + 6*tau(d) + 3) modulo 99989."
xhard_048,"Let M = 58786 and N = 202145337629. Let C be the number of integers x with 1 <= x <= N and gcd(x,M)=1. Compute C^2 + 13C + 106 modulo 60013."
xhard_049,Let S = 47^165732 + 83^105066 - 98^78995 + 56^38394. Compute S modulo 60013. Return the least nonnegative residue.
xhard_050,"Define A = sum_{k=0}^{63} (-1)^k * C(63, k) * (146+k)^70. Find A modulo 100000."
