id,problem,answer,category
hard_001,Let S = 82^43486 + 96^148182 - 33^29248 + 34^66931. Compute S modulo 100000. Return the least nonnegative residue.,76383,number_theory_power_mix
hard_002,"Define A = sum_{k=0}^{46} (-1)^k * C(46, k) * (64+k)^48. Find A modulo 65521.",35683,combinatorics_finite_difference
hard_003,"Sequence (u_n) satisfies u_(n+2) = 14*u_(n+1) + 70*u_n with u_0=80416, u_1=52231. Compute u_1292195 modulo 99991.",29777,recurrence_linear
hard_004,"Let F_0=0, F_1=1, and F_(t+2)=F_(t+1)+F_t. Compute B = F_227219606460*F_227219606461 + F_227219877238 modulo 99991.",13032,number_theory_fibonacci
hard_005,"Count integer tuples (x_1,...,x_9) with x_1+...+x_9=102 and 0 <= x_i <= 18 for all i. Give the count modulo 100000.",98614,combinatorics_bounded_compositions
hard_006,How many surjective functions exist from a set of size 29 to a set of size 12? Return the answer modulo 99991.,73990,combinatorics_surjection
hard_007,"Let P(x)=(1+x)^93(1+x^2)^61(1+x^3)^49. Find the coefficient of x^93 in P(x), modulo 99989.",25791,algebra_polynomial_coefficient
hard_008,"Let M=[[10,22,26],[17,45,41],[14,47,6]]. Compute trace(M^612449) modulo 99991.",39095,linear_algebra_matrix_power
hard_009,"Let x be the smallest nonnegative integer such that x ≡ 18 (mod 107), x ≡ 65 (mod 103), and x ≡ 31 (mod 101). Compute x^2 + 23x + 55 modulo 50021.",5558,number_theory_crt
hard_010,"In the coordinate plane, triangle vertices are A=(15,37), B=(146,14), C=(69,99). Let T = 2*Area(ABC) and Q = AB^2 + BC^2 + CA^2. Compute T^11 + Q^8 + TQ modulo 99991.",40988,geometry_coordinate
hard_011,Let S = 31^231176 + 61^244673 - 71^89346 + 19^26175. Compute S modulo 50021. Return the least nonnegative residue.,10964,number_theory_power_mix
hard_012,"Define A = sum_{k=0}^{72} (-1)^k * C(72, k) * (240+k)^79. Find A modulo 99989.",74451,combinatorics_finite_difference
hard_013,"Sequence (u_n) satisfies u_(n+2) = 45*u_(n+1) + 53*u_n with u_0=5290, u_1=10022. Compute u_1367729 modulo 50021.",36527,recurrence_linear
hard_014,"Let F_0=0, F_1=1, and F_(t+2)=F_(t+1)+F_t. Compute B = F_663532804523*F_663532804524 + F_663533044426 modulo 65521.",6881,number_theory_fibonacci
hard_015,"Count integer tuples (x_1,...,x_11) with x_1+...+x_11=154 and 0 <= x_i <= 25 for all i. Give the count modulo 65521.",29833,combinatorics_bounded_compositions
hard_016,How many surjective functions exist from a set of size 34 to a set of size 8? Return the answer modulo 50021.,4593,combinatorics_surjection
hard_017,"Let P(x)=(1+x)^85(1+x^2)^39(1+x^3)^21. Find the coefficient of x^103 in P(x), modulo 50021.",36676,algebra_polynomial_coefficient
hard_018,"Let M=[[30,27,42],[30,18,6],[49,11,11]]. Compute trace(M^257844) modulo 99991.",20527,linear_algebra_matrix_power
hard_019,"Let x be the smallest nonnegative integer such that x ≡ 36 (mod 109), x ≡ 83 (mod 107), and x ≡ 73 (mod 101). Compute x^2 + 30x + 67 modulo 65521.",35664,number_theory_crt
hard_020,"In the coordinate plane, triangle vertices are A=(43,51), B=(129,57), C=(107,161). Let T = 2*Area(ABC) and Q = AB^2 + BC^2 + CA^2. Compute T^6 + Q^5 + TQ modulo 60013.",45903,geometry_coordinate
hard_021,Let S = 156^125588 + 42^67895 - 81^101222 + 80^55590. Compute S modulo 99991. Return the least nonnegative residue.,74961,number_theory_power_mix
hard_022,"Define A = sum_{k=0}^{53} (-1)^k * C(53, k) * (63+k)^61. Find A modulo 50021.",8256,combinatorics_finite_difference
hard_023,"Sequence (u_n) satisfies u_(n+2) = 86*u_(n+1) + 85*u_n with u_0=54426, u_1=39750. Compute u_978594 modulo 60013.",16048,recurrence_linear
hard_024,"Let F_0=0, F_1=1, and F_(t+2)=F_(t+1)+F_t. Compute B = F_229111089194*F_229111089195 + F_229112610583 modulo 99991.",83970,number_theory_fibonacci
hard_025,"Count integer tuples (x_1,...,x_10) with x_1+...+x_10=131 and 0 <= x_i <= 27 for all i. Give the count modulo 60013.",55432,combinatorics_bounded_compositions
hard_026,How many surjective functions exist from a set of size 32 to a set of size 9? Return the answer modulo 100000.,32000,combinatorics_surjection
hard_027,"Let P(x)=(1+x)^41(1+x^2)^45(1+x^3)^50. Find the coefficient of x^110 in P(x), modulo 99989.",56076,algebra_polynomial_coefficient
hard_028,"Let M=[[29,7,27],[34,31,41],[24,30,45]]. Compute trace(M^483223) modulo 50021.",7951,linear_algebra_matrix_power
hard_029,"Let x be the smallest nonnegative integer such that x ≡ 86 (mod 103), x ≡ 65 (mod 107), and x ≡ 74 (mod 109). Compute x^2 + 60x + 155 modulo 99991.",62201,number_theory_crt
hard_030,"In the coordinate plane, triangle vertices are A=(2,72), B=(124,27), C=(79,120). Let T = 2*Area(ABC) and Q = AB^2 + BC^2 + CA^2. Compute T^7 + Q^3 + TQ modulo 50021.",10119,geometry_coordinate
hard_031,Let S = 187^155142 + 53^73064 - 16^92323 + 84^43319. Compute S modulo 60013. Return the least nonnegative residue.,55426,number_theory_power_mix
hard_032,"Define A = sum_{k=0}^{38} (-1)^k * C(38, k) * (197+k)^40. Find A modulo 99989.",56294,combinatorics_finite_difference
hard_033,"Sequence (u_n) satisfies u_(n+2) = 47*u_(n+1) + 21*u_n with u_0=78266, u_1=51189. Compute u_1562877 modulo 99991.",6208,recurrence_linear
hard_034,"Let F_0=0, F_1=1, and F_(t+2)=F_(t+1)+F_t. Compute B = F_162680981795*F_162680981796 + F_162681696207 modulo 99989.",84189,number_theory_fibonacci
hard_035,"Count integer tuples (x_1,...,x_10) with x_1+...+x_10=158 and 0 <= x_i <= 20 for all i. Give the count modulo 99991.",1850,combinatorics_bounded_compositions
hard_036,How many surjective functions exist from a set of size 24 to a set of size 14? Return the answer modulo 100000.,0,combinatorics_surjection
hard_037,"Let P(x)=(1+x)^95(1+x^2)^88(1+x^3)^51. Find the coefficient of x^125 in P(x), modulo 60013.",55068,algebra_polynomial_coefficient
hard_038,"Let M=[[39,35,11],[49,36,9],[18,28,30]]. Compute trace(M^612706) modulo 99989.",68968,linear_algebra_matrix_power
hard_039,"Let x be the smallest nonnegative integer such that x ≡ 19 (mod 109), x ≡ 77 (mod 107), and x ≡ 62 (mod 101). Compute x^2 + 38x + 79 modulo 60013.",49976,number_theory_crt
hard_040,"In the coordinate plane, triangle vertices are A=(14,77), B=(158,69), C=(16,103). Let T = 2*Area(ABC) and Q = AB^2 + BC^2 + CA^2. Compute T^6 + Q^4 + TQ modulo 100000.",28000,geometry_coordinate
hard_041,Let S = 35^186767 + 13^157722 - 98^90000 + 15^26303. Compute S modulo 99991. Return the least nonnegative residue.,94913,number_theory_power_mix
hard_042,"Define A = sum_{k=0}^{67} (-1)^k * C(67, k) * (203+k)^71. Find A modulo 50021.",10971,combinatorics_finite_difference
hard_043,"Sequence (u_n) satisfies u_(n+2) = 33*u_(n+1) + 127*u_n with u_0=21740, u_1=13612. Compute u_333384 modulo 65521.",4134,recurrence_linear
hard_044,"Let F_0=0, F_1=1, and F_(t+2)=F_(t+1)+F_t. Compute B = F_317078686195*F_317078686196 + F_317078926524 modulo 65521.",13035,number_theory_fibonacci
hard_045,"Count integer tuples (x_1,...,x_10) with x_1+...+x_10=126 and 0 <= x_i <= 18 for all i. Give the count modulo 99991.",19072,combinatorics_bounded_compositions
hard_046,How many surjective functions exist from a set of size 20 to a set of size 14? Return the answer modulo 99989.,39136,combinatorics_surjection
hard_047,"Let P(x)=(1+x)^40(1+x^2)^80(1+x^3)^51. Find the coefficient of x^71 in P(x), modulo 50021.",13526,algebra_polynomial_coefficient
hard_048,"Let M=[[35,2,49],[34,33,21],[20,10,4]]. Compute trace(M^1400709) modulo 100000.",25042,linear_algebra_matrix_power
hard_049,"Let x be the smallest nonnegative integer such that x ≡ 51 (mod 109), x ≡ 66 (mod 107), and x ≡ 92 (mod 101). Compute x^2 + 18x + 72 modulo 60013.",38808,number_theory_crt
hard_050,"In the coordinate plane, triangle vertices are A=(4,72), B=(109,71), C=(117,198). Let T = 2*Area(ABC) and Q = AB^2 + BC^2 + CA^2. Compute T^4 + Q^6 + TQ modulo 100000.",96489,geometry_coordinate
hard_051,Let S = 145^340760 + 127^127857 - 82^34055 + 62^26985. Compute S modulo 99989. Return the least nonnegative residue.,3925,number_theory_power_mix
hard_052,"Define A = sum_{k=0}^{73} (-1)^k * C(73, k) * (196+k)^76. Find A modulo 99989.",54827,combinatorics_finite_difference
hard_053,"Sequence (u_n) satisfies u_(n+2) = 46*u_(n+1) + 25*u_n with u_0=26634, u_1=52331. Compute u_1786222 modulo 100000.",21976,recurrence_linear
hard_054,"Let F_0=0, F_1=1, and F_(t+2)=F_(t+1)+F_t. Compute B = F_436037449796*F_436037449797 + F_436038110324 modulo 99989.",99323,number_theory_fibonacci
hard_055,"Count integer tuples (x_1,...,x_8) with x_1+...+x_8=117 and 0 <= x_i <= 25 for all i. Give the count modulo 100000.",68840,combinatorics_bounded_compositions
hard_056,How many surjective functions exist from a set of size 31 to a set of size 12? Return the answer modulo 100000.,60000,combinatorics_surjection
hard_057,"Let P(x)=(1+x)^46(1+x^2)^29(1+x^3)^37. Find the coefficient of x^61 in P(x), modulo 99989.",97973,algebra_polynomial_coefficient
